Points_0,Points_1,vel_0
0.013125,-0.007735,-1.97099
0.011875,-0.00733833,-1.5289
0.010625,-0.00694167,-1.12796
0.009375,-0.006545,-0.769852
0.008125,-0.00614833,-0.456897
0.006875,-0.00575167,-0.191352
0.005625,-0.005355,0.0230576
0.004375,-0.00495833,0.182118
0.003125,-0.00456167,0.24783
0.001875,-0.004165,0.241257
0.000625,-0.00376833,0.0490746
-0.0209622,0.0005,26.0731
-0.0234413,0.0015238,32.7096
-0.025977,0.00259581,34.5916
-0.0285706,0.00371717,36.1868
-0.0312236,0.00488893,37.5073
-0.0339371,0.006112,38.595
-0.0367127,0.00738718,39.5388
-0.0395516,0.00871511,40.3703
-0.0424555,0.0100963,41.1202
-0.0454257,0.0115309,41.8048
-0.0484638,0.0130191,42.4377
0.028125,-0.0123,-9.29021
0.026875,-0.0117017,-7.76578
0.025625,-0.011305,-7.24774
0.024375,-0.0109083,-6.68901
0.023125,-0.0105117,-6.10438
0.021875,-0.010115,-5.50548
0.020625,-0.00971833,-4.90286
0.019375,-0.00932167,-4.30612
0.018125,-0.008925,-3.72399
0.016875,-0.00852833,-3.16403
0.015625,-0.00813167,-2.63263
0.014375,-0.007735,-2.13481
0.013125,-0.00733833,-1.67438
0.011875,-0.00694167,-1.25384
0.010625,-0.006545,-0.874865
0.009375,-0.00614833,-0.538842
0.008125,-0.00575167,-0.248295
0.006875,-0.005355,-0.00571313
0.005625,-0.00495833,0.186558
0.004375,-0.00456167,0.327872
0.003125,-0.004165,0.372785
0.001875,-0.00376833,0.349209
0.000625,-0.00337167,0.100389
-0.0185385,0.0005,26.1879
-0.0209622,0.0015238,32.7534
-0.0234413,0.00259581,34.6422
-0.025977,0.00371717,36.2444
-0.0285706,0.00488893,37.5356
-0.0312236,0.006112,38.6265
-0.0339371,0.00738718,39.561
-0.0367127,0.00871511,40.3887
-0.0395516,0.0100963,41.1335
-0.0424555,0.0115309,41.8147
-0.0454257,0.0130191,42.4435
-0.0484638,0.0145607,43.0293
0.029375,-0.0123,-9.43138
0.028125,-0.0117017,-7.8954
0.026875,-0.011305,-7.40413
0.025625,-0.0109083,-6.86582
0.024375,-0.0105117,-6.2956
0.023125,-0.010115,-5.70536
0.021875,-0.00971833,-5.10583
0.020625,-0.00932167,-4.50705
0.019375,-0.008925,-3.9183
0.018125,-0.00852833,-3.34797
0.016875,-0.00813167,-2.80324
0.015625,-0.007735,-2.28997
0.014375,-0.00733833,-1.81257
0.013125,-0.00694167,-1.37413
0.011875,-0.006545,-0.976324
0.010625,-0.00614833,-0.620129
0.009375,-0.00575167,-0.306775
0.008125,-0.005355,-0.0393545
0.006875,-0.00495833,0.179371
0.005625,-0.00456167,0.349553
0.004375,-0.004165,0.476038
0.003125,-0.00376833,0.504859
0.001875,-0.00337167,0.462851
0.000625,-0.002975,0.109184
-0.016169,0.0005,26.1446
-0.0185385,0.0015238,32.8658
-0.0209622,0.00259581,34.7
-0.0234413,0.00371717,36.2891
-0.025977,0.00488893,37.5803
-0.0285706,0.006112,38.657
-0.0312236,0.00738718,39.5892
-0.0339371,0.00871511,40.4104
-0.0367127,0.0100963,41.1508
-0.0395516,0.0115309,41.8273
-0.0424555,0.0130191,42.4527
-0.0454257,0.0145607,43.0348
-0.0484638,0.0161554,43.5801
0.030625,-0.0123,-9.53253
0.029375,-0.0117017,-7.98777
0.028125,-0.011305,-7.52595
0.026875,-0.0109083,-7.01091
0.025625,-0.0105117,-6.45827
0.024375,-0.010115,-5.87993
0.023125,-0.00971833,-5.28674
0.021875,-0.00932167,-4.68892
0.020625,-0.008925,-4.0962
0.019375,-0.00852833,-3.5176
0.018125,-0.00813167,-2.9612
0.016875,-0.007735,-2.43376
0.015625,-0.00733833,-1.94059
0.014375,-0.00694167,-1.4854
0.013125,-0.006545,-1.07045
0.011875,-0.00614833,-0.696506
0.010625,-0.00575167,-0.363792
0.009375,-0.005355,-0.0736865
0.008125,-0.00495833,0.169614
0.006875,-0.00456167,0.363135
0.005625,-0.004165,0.511267
0.004375,-0.00376833,0.626935
0.003125,-0.00337167,0.645502
0.001875,-0.002975,0.587881
0.000625,-0.00257833,0.280407
-0.0138524,0.0005,26.3058
-0.016169,0.0015238,32.9306
-0.0185385,0.00259581,34.7825
-0.0209622,0.00371717,36.3427
-0.0234413,0.00488893,37.6238
-0.025977,0.006112,38.6962
-0.0285706,0.00738718,39.6192
-0.0312236,0.00871511,40.4367
-0.0339371,0.0100963,41.1716
-0.0367127,0.0115309,41.8436
-0.0395516,0.0130191,42.4646
-0.0424555,0.0145607,43.0434
-0.0454257,0.0161554,43.5852
-0.0484638,0.0178025,44.0946
0.031875,-0.0123,-9.59223
0.030625,-0.0117017,-8.04165
0.029375,-0.011305,-7.61133
0.028125,-0.0109083,-7.12209
0.026875,-0.0105117,-6.5898
0.025625,-0.010115,-6.02638
0.024375,-0.00971833,-5.44263
0.023125,-0.00932167,-4.84885
0.021875,-0.008925,-4.25494
0.020625,-0.00852833,-3.67043
0.019375,-0.00813167,-3.10411
0.018125,-0.007735,-2.56377
0.016875,-0.00733833,-2.05568
0.015625,-0.00694167,-1.58454
0.014375,-0.006545,-1.15332
0.013125,-0.00614833,-0.763301
0.011875,-0.00575167,-0.414193
0.010625,-0.005355,-0.105527
0.009375,-0.00495833,0.160702
0.008125,-0.00456167,0.378437
0.006875,-0.004165,0.544742
0.005625,-0.00376833,0.67093
0.004375,-0.00337167,0.781275
0.003125,-0.002975,0.796591
0.001875,-0.00257833,0.718256
0.000625,-0.00218167,-0.0351244
-0.0115875,0.0005,26.2353
-0.0138524,0.0015238,33.0539
-0.016169,0.00259581,34.8398
-0.0185385,0.00371717,36.4106
-0.0209622,0.00488893,37.6733
-0.0234413,0.006112,38.7373
-0.025977,0.00738718,39.6556
-0.0285706,0.00871511,40.4657
-0.0312236,0.0100963,41.1964
-0.0339371,0.0115309,41.8634
-0.0367127,0.0130191,42.48
-0.0395516,0.0145607,43.0545
-0.0424555,0.0161554,43.5932
-0.0454257,0.0178025,44.0995
-0.0484638,0.0195011,44.5765
0.033125,-0.0123,-9.61028
0.031875,-0.0117017,-8.05607
0.030625,-0.011305,-7.65895
0.029375,-0.0109083,-7.19756
0.028125,-0.0105117,-6.68802
0.026875,-0.010115,-6.14219
0.025625,-0.00971833,-5.57076
0.024375,-0.00932167,-4.98397
0.023125,-0.008925,-4.39176
0.021875,-0.00852833,-3.80387
0.020625,-0.00813167,-3.22965
0.019375,-0.007735,-2.67771
0.018125,-0.00733833,-2.15548
0.016875,-0.00694167,-1.66876
0.015625,-0.006545,-1.22155
0.014375,-0.00614833,-0.815949
0.013125,-0.00575167,-0.452158
0.011875,-0.005355,-0.128662
0.010625,-0.00495833,0.155583
0.009375,-0.00456167,0.397188
0.008125,-0.004165,0.587214
0.006875,-0.00376833,0.723427
0.005625,-0.00337167,0.828058
0.004375,-0.002975,0.940591
0.003125,-0.00257833,0.961881
0.001875,-0.00218167,0.878718
0.000625,-0.001785,0.785661
-0.00937328,0.0005,26.4684
-0.0115875,0.0015238,33.13
-0.0138524,0.00259581,34.9361
-0.016169,0.00371717,36.4698
-0.0185385,0.00488893,37.7323
-0.0209622,0.006112,38.784
-0.0234413,0.00738718,39.6944
-0.025977,0.00871511,40.4998
-0.0285706,0.0100963,41.2241
-0.0312236,0.0115309,41.8868
-0.0339371,0.0130191,42.4987
-0.0367127,0.0145607,43.0689
-0.0395516,0.0161554,43.6035
-0.0424555,0.0178025,44.1068
-0.0454257,0.0195011,44.581
-0.0484638,0.0212501,45.028
0.034375,-0.0123,-9.58634
0.033125,-0.0117017,-8.03062
0.031875,-0.011305,-7.6679
0.030625,-0.0109083,-7.236
0.029375,-0.0105117,-6.75118
0.028125,-0.010115,-6.2252
0.026875,-0.00971833,-5.66864
0.025625,-0.00932167,-5.09158
0.024375,-0.008925,-4.50388
0.023125,-0.00852833,-3.9153
0.021875,-0.00813167,-3.33541
0.020625,-0.007735,-2.77347
0.019375,-0.00733833,-2.23789
0.018125,-0.00694167,-1.73577
0.016875,-0.006545,-1.27233
0.015625,-0.00614833,-0.850807
0.014375,-0.00575167,-0.472314
0.013125,-0.005355,-0.135782
0.011875,-0.00495833,0.161683
0.010625,-0.00456167,0.42142
0.009375,-0.004165,0.637458
0.008125,-0.00376833,0.796663
0.006875,-0.00337167,0.898908
0.005625,-0.002975,0.983103
0.004375,-0.00257833,1.10794
0.003125,-0.00218167,1.14286
0.001875,-0.001785,1.03975
0.000625,-0.00138833,-0.938002
-0.0072085,0.0005,26.4932
-0.00937328,0.0015238,33.285
-0.0115875,0.00259581,35.0213
-0.0138524,0.00371717,36.5501
-0.016169,0.00488893,37.7905
-0.0185385,0.006112,38.8373
-0.0209622,0.00738718,39.7387
-0.0234413,0.00871511,40.5367
-0.025977,0.0100963,41.2562
-0.0285706,0.0115309,41.9131
-0.0312236,0.0130191,42.5206
-0.0339371,0.0145607,43.0864
-0.0367127,0.0161554,43.6169
-0.0395516,0.0178025,44.1164
-0.0424555,0.0195011,44.5878
-0.0454257,0.0212501,45.0322
-0.0484638,0.023048,45.4506
0.035625,-0.0123,-9.52081
0.034375,-0.0117017,-7.96517
0.033125,-0.011305,-7.6377
0.031875,-0.0109083,-7.23651
0.030625,-0.0105117,-6.77799
0.029375,-0.010115,-6.27374
0.028125,-0.00971833,-5.73418
0.026875,-0.00932167,-5.16925
0.025625,-0.008925,-4.58866
0.024375,-0.00852833,-4.00202
0.023125,-0.00813167,-3.41894
0.021875,-0.007735,-2.8489
0.020625,-0.00733833,-2.30107
0.019375,-0.00694167,-1.78371
0.018125,-0.006545,-1.30351
0.016875,-0.00614833,-0.865059
0.015625,-0.00575167,-0.470699
0.014375,-0.005355,-0.120452
0.013125,-0.00495833,0.188261
0.011875,-0.00456167,0.459878
0.010625,-0.004165,0.695497
0.009375,-0.00376833,0.884814
0.008125,-0.00337167,1.00897
0.006875,-0.002975,1.07251
0.005625,-0.00257833,1.13883
0.004375,-0.00218167,1.28828
0.003125,-0.001785,1.34601
0.001875,-0.00138833,1.24782
0.000625,-0.000991667,1.74343
-0.00509208,0.0005,26.5413
-0.0072085,0.0015238,33.3646
-0.00937328,0.00259581,35.1176
-0.0115875,0.00371717,36.6325
-0.0138524,0.00488893,37.8619
-0.016169,0.006112,38.8928
-0.0185385,0.00738718,39.7879
-0.0209622,0.00871511,40.5785
-0.0234413,0.0100963,41.2911
-0.025977,0.0115309,41.9432
-0.0285706,0.0130191,42.5453
-0.0312236,0.0145607,43.1069
-0.0339371,0.0161554,43.6332
-0.0367127,0.0178025,44.1287
-0.0395516,0.0195011,44.5965
-0.0424555,0.0212501,45.0383
-0.0454257,0.023048,45.4545
-0.0484638,0.024893,45.8454
0.036875,-0.0123,-9.41419
0.035625,-0.0117017,-7.86001
0.034375,-0.011305,-7.56822
0.033125,-0.0109083,-7.19862
0.031875,-0.0105117,-6.7676
0.030625,-0.010115,-6.28658
0.029375,-0.00971833,-5.76578
0.028125,-0.00932167,-5.21498
0.026875,-0.008925,-4.64374
0.025625,-0.00852833,-4.0615
0.024375,-0.00813167,-3.47769
0.023125,-0.007735,-2.90176
0.021875,-0.00733833,-2.34319
0.020625,-0.00694167,-1.81109
0.019375,-0.006545,-1.31355
0.018125,-0.00614833,-0.856775
0.016875,-0.00575167,-0.44459
0.015625,-0.005355,-0.0783625
0.014375,-0.00495833,0.243163
0.013125,-0.00456167,0.524368
0.011875,-0.004165,0.771396
0.010625,-0.00376833,0.984209
0.009375,-0.00337167,1.14577
0.008125,-0.002975,1.22995
0.006875,-0.00257833,1.25015
0.005625,-0.00218167,1.30359
0.004375,-0.001785,1.49029
0.003125,-0.00138833,1.54168
0.001875,-0.000991667,1.48593
0.000625,-0.000595,-3.80984
-0.00302294,0.0005,27.0272
