TKE renorm	TKE exp
0.000524387	3.10E-03
0.000524387	3.12E-03
0.000524387	3.15E-03
0.000524387	3.17E-03
0.000524387	3.19E-03
0.000524387	3.22E-03
0.000524387	3.24E-03
0.000524405	3.27E-03
0.000524405	3.30E-03
0.000524405	3.32E-03
0.000524405	3.35E-03
0.000524405	3.37E-03
0.000524405	3.40E-03
0.000524405	3.43E-03
0.000524405	3.45E-03
0.00053866	3.48E-03
0.00053866	3.51E-03
0.00053866	3.54E-03
0.00053866	3.56E-03
0.00053866	3.59E-03
0.00053866	3.62E-03
0.00053866	3.65E-03
0.00053866	3.68E-03
0.000588313	3.71E-03
0.000588313	3.74E-03
0.000588313	3.77E-03
0.000588313	3.80E-03
0.000588313	3.82E-03
0.000588313	3.86E-03
0.000588313	3.89E-03
0.000588313	3.92E-03
0.000720021	3.95E-03
0.000720021	3.98E-03
0.000720021	4.01E-03
0.000720021	4.04E-03
0.000720021	4.07E-03
0.000720021	4.11E-03
0.000720021	4.14E-03
0.000720021	4.17E-03
0.000997996	4.20E-03
0.000997996	4.24E-03
0.000997996	4.27E-03
0.000997996	4.31E-03
0.000997996	4.34E-03
0.000997996	4.38E-03
0.000997996	4.41E-03
0.000997996	4.45E-03
0.001438466	4.49E-03
0.001438466	4.53E-03
0.001438466	4.56E-03
0.001438466	4.60E-03
0.001438466	4.64E-03
0.001438466	4.68E-03
0.001438466	4.72E-03
0.001438466	4.77E-03
0.001977867	4.81E-03
0.001977867	4.85E-03
0.001977867	4.89E-03
0.001977867	4.94E-03
0.001977867	4.98E-03
0.001977867	5.03E-03
0.001977867	5.07E-03
0.001977867	5.12E-03
0.002585067	5.16E-03
0.002585067	5.21E-03
0.002585067	5.26E-03
0.002585067	5.31E-03
0.002585067	5.36E-03
0.002585067	5.41E-03
0.002585067	5.46E-03
0.002585067	5.51E-03
0.003447938	5.57E-03
0.003447938	5.64E-03
0.003447938	5.70E-03
0.003447938	5.78E-03
0.003447938	5.85E-03
0.003447938	5.93E-03
0.003447938	6.01E-03
0.003447938	6.10E-03
0.003265132	6.19E-03
0.003265132	6.28E-03
0.003265132	6.38E-03
0.003265132	6.49E-03
0.003265132	6.59E-03
0.003265132	6.71E-03
0.003265132	6.86E-03
0.003265132	7.01E-03
0.007488339	7.29E-03
0.007488339	7.74E-03
0.007488339	8.46E-03
0.007488339	9.33E-03
0.007488339	1.07E-02
0.007488339	1.24E-02
0.007488339	1.38E-02
0.007488339	1.46E-02
0.015624922	1.46E-02
0.015624922	1.44E-02
0.015624922	1.35E-02
0.015624922	1.23E-02
0.015624922	1.12E-02
0.015624922	1.01E-02
0.015624922	9.10E-03
0.015624922	8.11E-03
0.004596942	7.24E-03
0.004596942	6.57E-03
0.004596942	6.18E-03
0.004596942	5.94E-03
0.004596942	5.75E-03
0.004596942	5.60E-03
0.004596942	5.51E-03
0.004596942	5.43E-03
0.000892242	5.35E-03
0.000892242	5.28E-03
0.000892242	5.20E-03
0.000892242	5.12E-03
0.000892242	5.04E-03
0.000892242	4.97E-03
0.000892242	4.90E-03
0.000389104	4.84E-03
0.000389104	4.79E-03
0.000389104	4.74E-03
0.000389104	4.69E-03
0.000389104	4.65E-03
0.000389104	4.61E-03
